GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,kr.co.kyobo.vora.model.database,BlockFeeds,135,0,18,0,4,0,20,0,11,0
backend,kr.co.kyobo.vora.model.database,MemberFollowMember,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,FeedReport,307,0,50,0,8,0,44,0,19,0
backend,kr.co.kyobo.vora.model.database,FeedMemberTag,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,CommentMember,92,0,10,0,3,0,14,0,9,0
backend,kr.co.kyobo.vora.model.database,Terms,126,0,22,0,3,0,20,0,9,0
backend,kr.co.kyobo.vora.model.database,ActionTagsBook,135,0,18,0,4,0,20,0,11,0
backend,kr.co.kyobo.vora.model.database,IpToCity,367,0,64,0,9,0,53,0,21,0
backend,kr.co.kyobo.vora.model.database,FeedCommentReport,307,0,50,0,8,0,44,0,19,0
backend,kr.co.kyobo.vora.model.database,Feeds,445,0,70,0,12,0,62,0,27,0
backend,kr.co.kyobo.vora.model.database,SearchHistory,152,0,24,0,4,0,23,0,11,0
backend,kr.co.kyobo.vora.model.database,MemberActivity,195,0,32,0,5,0,29,0,13,0
backend,kr.co.kyobo.vora.config,JwtInterceptorConfig,20,0,0,0,4,0,3,0,3,0
backend,kr.co.kyobo.vora.config,CorsConfig,116,0,12,0,26,0,12,0,6,0
backend,kr.co.kyobo.vora.config,DatabaseConfig,71,0,0,0,17,0,6,0,6,0
backend,kr.co.kyobo.vora.config,SwaggerUiConfig,36,0,0,0,6,0,2,0,2,0
backend,kr.co.kyobo.vora.config,SwaggerConfig,15,0,0,0,6,0,2,0,2,0
backend,kr.co.kyobo.vora.service.tagFollow,TagFollowServiceImpl,43,0,0,0,10,0,4,0,4,0
backend,kr.co.kyobo.vora.service.feedReport,FeedReportServiceImpl,17,0,2,0,5,0,3,0,2,0
